Region,Constituency,Candidates,Electorate,Votes Cast,Turnout,Rejected ballots,,Winner,Gain,Labour,SNP,Liberal Democrat,Conservative,Green,All Scotland Pensioners Party,Christian Party ,Communist Party,Independent,Land Party,Liberal Party,National Front,Scottish Christain Party,UKIP,Other
Central Scotland,Airdrie and Shotts,  4 ,"  51,336 ","  23,894 ",47%,87,"  11,984 ",SNP,SNP,"  9,983 ","  11,984 ",  531 ,"  1,396 ",,,,,,,,,,,
Central Scotland,Coatbridge and Chryston,  4 ,"  51,206 ","  23,279 ",45%,105,"  12,161 ",Labour,,"  12,161 ","  9,420 ",  381 ,"  1,317 ",,,,,,,,,,,
Central Scotland,Cumbernauld and Kilsyth,  4 ,"  48,006 ","  25,254 ",53%,69,"  13,595 ",SNP,SNP,"  10,136 ","  13,595 ",  367 ,"  1,156 ",,,,,,,,,,,
Central Scotland,East Kilbride,  5 ,"  58,251 ","  29,911 ",51%,,"  14,359 ",SNP,SNP,"  12,410 ","  14,359 ",  468 ,"  2,260 ",,,,,  414 ,,,,,,
Central Scotland,Falkirk East,  4 ,"  56,408 ","  28,168 ",50%,80,"  14,302 ",SNP,SNP,"  10,767 ","  14,302 ",  727 ,"  2,372 ",,,,,,,,,,,
Central Scotland,Falkirk West,  4 ,"  55,739 ","  28,199 ",51%,111,"  15,607 ",SNP,,"  9,862 ","  15,607 ",  644 ,"  2,086 ",,,,,,,,,,,
Central Scotland,"Hamilton, Larkhall and Stonehouse",  4 ,"  56,123 ","  25,354 ",45%,,"  12,202 ",SNP,SNP,"  9,989 ","  12,202 ",  616 ,"  2,547 ",,,,,,,,,,,
Central Scotland,Motherwell and Wishaw,  6 ,"  53,610 ","  24,451 ",46%,63,"  10,713 ",Labour,,"  10,713 ","  10,126 ",  367 ,"  1,753 ",,  945 ,  547 ,,,,,,,,
Central Scotland,Uddingston and Bellshill,  4 ,"  55,584 ","  24,995 ",45%,101,"  11,531 ",Labour,,"  11,531 ","  10,817 ",  530 ,"  2,117 ",,,,,,,,,,,
Glasgow,Glasgow Anniesland,  5 ,"  55,411 ","  23,918 ",43%,105,"  10,329 ",SNP,SNP,"  10,322 ","  10,329 ","  1,000 ","  2,011 ",,,,  256 ,,,,,,,
Glasgow,Glasgow Cathcart,  5 ,"  58,525 ","  26,222 ",45%,166,"  11,918 ",SNP,SNP,"  10,326 ","  11,918 ","  1,118 ","  2,410 ",,,,,  450 ,,,,,,
Glasgow,Glasgow Kelvin,  5 ,"  61,893 ","  24,548 ",40%,246,"  10,640 ",SNP,SNP,"  9,758 ","  10,640 ","  1,900 ","  1,845 ",,,,,  405 ,,,,,,
Glasgow,Glasgow Maryhill and Springburn,  4 ,"  56,622 ","  20,531 ",36%,142,"  9,884 ",Labour,,"  9,884 ","  8,592 ",  833 ,"  1,222 ",,,,,,,,,,,
Glasgow,Glasgow Pollok,  4 ,"  58,429 ","  22,915 ",39%,154,"  10,875 ",Labour,,"  10,875 ","  10,252 ",  490 ,"  1,298 ",,,,,,,,,,,
Glasgow,Glasgow Provan,  4 ,"  55,138 ","  19,185 ",35%,134,"  10,037 ",Labour,,"  10,037 ","  7,958 ",  413 ,  777 ,,,,,,,,,,,
Glasgow,Glasgow Shettleston,  4 ,"  55,874 ","  21,204 ",38%,109,"  10,128 ",SNP,SNP,"  9,542 ","  10,128 ",  371 ,"  1,163 ",,,,,,,,,,,
Glasgow,Glasgow Southside,  4 ,"  52,325 ","  22,608 ",43%,,"  12,306 ",SNP,SNP,"  7,957 ","  12,306 ",  612 ,"  1,733 ",,,,,,,,,,,
Glasgow,Rutherglen,  5 ,"  57,777 ","  27,122 ",47%,,"  12,489 ",Labour,,"  12,489 ","  10,710 ","  1,194 ","  2,096 ",,,,,  633 ,,,,,,
Highlands and Islands,Argyll and Bute,  6 ,"  48,925 ","  26,476 ",54%,120,"  13,390 ",SNP,,"  4,041 ","  13,390 ","  3,220 ","  4,847 ",,,,,  542 ,,  436 ,,,,
Highlands and Islands,"Caithness, Sutherland and Ross",  4 ,"  55,121 ","  28,600 ",52%,142,"  13,843 ",SNP,SNP,"  5,438 ","  13,843 ","  6,385 ","  2,934 ",,,,,,,,,,,
Highlands and Islands,Na h-Eileanan an Iar,  4 ,"  21,833 ","  13,011 ",60%,68,"  8,496 ",SNP,,"  3,724 ","  8,496 ",  228 ,  563 ,,,,,,,,,,,
Highlands and Islands,Inverness and Nairn,  6 ,"  62,183 ","  32,731 ",53%,99,"  16,870 ",SNP,,"  7,125 ","  16,870 ","  3,763 ","  3,797 ",,,,,,,,,  646 ,  530 ,
Highlands and Islands,Moray,  5 ,"  56,215 ","  28,596 ",51%,112,"  16,817 ",SNP,,"  3,580 ","  16,817 ","  1,327 ","  5,873 ",,,,,,,,,,  999 ,
Highlands and Islands,Orkney Islands,  5 ,"  16,406 ","  8,152 ",50%,29,"  2,912 ",Liberal Democrats,,  458 ,"  2,044 ","  2,912 ",  686 ,,,,,"  2,052 ",,,,,,
Highlands and Islands,Shetland Islands,  5 ,"  17,505 ","  9,391 ",54%,37,"  4,462 ",Liberal Democrats,,  620 ,"  1,134 ","  4,462 ",  330 ,,,,,"  2,845 ",,,,,,
Highlands and Islands,"Skye, Lochaber and Badenoch",  5 ,"  57,028 ","  31,915 ",56%,154,"  14,737 ",SNP,SNP,"  4,112 ","  14,737 ","  9,742 ","  2,834 ",,,,,  490 ,,,,,,
Lothian,Almond Valley,  5 ,"  59,896 ","  30,737 ",51%,,"  16,704 ",SNP,,"  11,162 ","  16,704 ",  656 ,"  1,886 ",,,,,,,,  329 ,,,
Lothian,Edinburgh Central,  4 ,"  53,606 ","  29,014 ",54%,224,"  9,480 ",SNP,SNP,"  9,243 ","  9,480 ","  5,937 ","  4,354 ",,,,,,,,,,,
Lothian,Edinburgh Eastern,  4 ,"  55,773 ","  30,728 ",55%,157,"  14,552 ",SNP,SNP,"  12,319 ","  14,552 ","  1,227 ","  2,630 ",,,,,,,,,,,
Lothian,Edinburgh Northern and Leith,  4 ,"  59,138 ","  30,885 ",52%,172,"  12,858 ",Labour,,"  12,858 ","  12,263 ","  2,836 ","  2,928 ",,,,,,,,,,,
