Region,Constituency,Total Votes,Spoilt Papers,Electorate,Turnout,,,,,Labour,SNP,Liberal Democrat,Conservative,Green,All Scotland Pensioners Party,Scottish Socialist Party,Solidarity,Angus Independent ,Ban Bankers Bonuses,British National Party,Caroline Johnstone,Christian Party,David Hogg,Hugh O'Donnell,Ken O'Neill,Liberal Party,Mev Brown,Margo MacDonald,National Front,Pirate Party,Respect,RISE,Scottish Christian People's Alliance,Scottish Homeland Party,Scottish Unionist Party,Socialist Labour Party,UK Independence Party,Independent - Rodger,Other Independent
Central Scotland,Airdrie and Shotts,"  23,839 ",  119 ,51336,46.4%,,,,,"  8,884 ","  11,186 ",  301 ,"  1,186 ",  367 ,  461 ,  78 ,  43 ,,,  278 ,,  313 ,,  80 ,,,,,,,,,,  30 ,  192 ,  330 ,  110 ,,
Central Scotland,Coatbridge and Chryston,"  23,312 ",  76 ,51206,45.5%,,,,,"  9,805 ","  9,675 ",  247 ,"  1,123 ",  463 ,  525 ,  119 ,  90 ,,,  219 ,,  364 ,,  85 ,,,,,,,,,,  30 ,  153 ,  342 ,  72 ,,
Central Scotland,Cumbernauld and Kilsyth,"  25,136 ",  55 ,48006,52.4%,,,,,"  8,607 ","  12,873 ",  270 ,"  1,021 ",  577 ,  577 ,  97 ,  42 ,,,  207 ,,  363 ,,  156 ,,,,,,,,,,  36 ,  124 ,  101 ,  85 ,,
Central Scotland,East Kilbride,"  29,916 ",  83 ,58251,51.4%,,,,,"  10,006 ","  13,906 ",  422 ,"  1,911 ","  1,259 ",  855 ,  98 ,  94 ,,,  256 ,,  320 ,,  70 ,,,,,,,,,,  36 ,  193 ,  348 ,  142 ,,
Central Scotland,Falkirk East,"  28,185 ",  64 ,56408,50.0%,,,,,"  8,401 ","  14,221 ",  534 ,"  2,212 ",  706 ,  649 ,  60 ,  35 ,,,  310 ,,  282 ,,  81 ,,,,,,,,,,  30 ,  176 ,  280 ,  208 ,,
Central Scotland,Falkirk West,"  28,261 ",  71 ,55739,50.7%,,,,,"  8,958 ","  13,989 ",  481 ,"  2,055 ",  764 ,  560 ,  96 ,  39 ,,,  244 ,,  318 ,,  97 ,,,,,,,,,,  46 ,  156 ,  222 ,  236 ,,
Central Scotland,"Hamilton, Larkhall and Stonehouse","  25,407 ",  84 ,56123,45.3%,,,,,"  8,571 ","  11,666 ",  419 ,"  1,984 ",  720 ,  657 ,  65 ,  50 ,,,  228 ,,  332 ,,  88 ,,,,,,,,,,  31 ,  206 ,  220 ,  170 ,,
Central Scotland,Motherwell and Wishaw,"  24,485 ",  51 ,53610,45.7%,,,,,"  9,473 ","  10,252 ",  302 ,"  1,564 ",  296 ,  906 ,  112 ,  85 ,,,  237 ,,  529 ,,  61 ,,,,,,,,,,  56 ,  155 ,  338 ,  119 ,,
Central Scotland,Uddingston and Bellshill,"  25,015 ",  81 ,55584,45.0%,,,,,"  9,754 ","  10,493 ",  342 ,"  1,814 ",  482 ,  603 ,  95 ,  81 ,,,  235 ,,  352 ,,  103 ,,,,,,,,,,  38 ,  200 ,  302 ,  121 ,,
Glasgow,Glasgow Anniesland,"  23,899 ",  91 ,55411,43.1%,,,,,"  8,019 ","  9,513 ",  701 ,"  1,850 ","  1,489 ",  386 ,  223 ,,,,  257 ,  27 ,  246 ,,,,,,,,  68 ,  697 ,,,  23 ,  136 ,  173 ,  91 ,,
Glasgow,Glasgow Cathcart,"  26,300 ",  96 ,58525,44.9%,,,,,"  8,090 ","  10,674 ",  701 ,"  2,196 ","  1,863 ",  625 ,  101 ,,,,  145 ,  38 ,  193 ,,,,,,,,  87 ,"  1,039 ",,,  23 ,  159 ,  226 ,  140 ,,
Glasgow,Glasgow Kelvin,"  24,669 ",  135 ,61893,39.9%,,,,,"  6,662 ","  8,867 ","  1,225 ","  1,732 ","  3,820 ",  204 ,  247 ,,,,  157 ,  34 ,  160 ,,,,,,,,  136 ,  985 ,,,  19 ,  74 ,  187 ,  160 ,,
Glasgow,Glasgow Maryhill and Springburn,"  20,555 ",  99 ,56622,36.3%,,,,,"  7,765 ","  7,949 ",  537 ,"  1,041 ","  1,035 ",  448 ,  161 ,,,,  268 ,  27 ,  136 ,,,,,,,,  49 ,  537 ,,,  38 ,  147 ,  320 ,  97 ,,
Glasgow,Glasgow Pollok,"  22,992 ",  91 ,58429,39.4%,,,,,"  8,760 ","  9,713 ",  325 ,  963 ,  571 ,  617 ,  100 ,,,,  330 ,  25 ,  192 ,,,,,,,,  55 ,  664 ,,,  24 ,  158 ,  369 ,  126 ,,
Glasgow,Glasgow Provan,"  19,201 ",  120 ,55138,34.8%,,,,,"  8,130 ","  7,456 ",  230 ,  626 ,  658 ,  384 ,  100 ,,,,  318 ,  17 ,  103 ,,,,,,,,  1 ,  466 ,,,  61 ,  201 ,  316 ,  134 ,,
Glasgow,Glasgow Shettleston,"  21,213 ",  90 ,55874,38.0%,,,,,"  8,456 ","  8,802 ",  281 ,"  1,016 ",  529 ,  254 ,  138 ,,,,  325 ,  26 ,  146 ,,,,,,,,  63 ,  588 ,,,  49 ,  210 ,  211 ,  119 ,,
Glasgow,Glasgow Southside,"  22,680 ",  147 ,52325,43.3%,,,,,"  6,648 ","  9,548 ",  497 ,"  1,518 ","  1,779 ",  319 ,  149 ,,,,  261 ,  17 ,  119 ,,,,,,,,  68 ,"  1,359 ",,,  16 ,  68 ,  200 ,  114 ,,
Glasgow,Rutherglen,"  27,113 ",  82 ,57777,46.9%,,,,,"  10,411 ","  10,587 ",  815 ,"  1,807 ",  710 ,  513 ,  143 ,  -   ,,,  363 ,  127 ,  206 ,,  -   ,,,,  -   ,,  54 ,  637 ,,,  30 ,  294 ,  274 ,  142 ,,
Highlands and Islands,Argyll and Bute,"  26,597 ",  61 ,48925,54.4%,,,,,"  3,804 ","  13,172 ","  2,155 ","  4,156 ","  1,304 ",  436 ,  95 ,  50 ,,  198 ,  183 ,,  231 ,,,,  247 ,,,,,,,,,,  204 ,  362 ,,
Highlands and Islands,"Caithness, Sutherland and Ross","  28,617 ",  126 ,55121,51.9%,,,,,"  4,523 ","  13,185 ","  4,081 ","  2,647 ","  1,327 ",  650 ,  77 ,  20 ,,  286 ,  179 ,,  583 ,,,,  337 ,,,,,,,,,,  253 ,  469 ,,
Highlands and Islands,Na h-Eileanan an Iar,"  13,034 ",  59 ,21833,59.7%,,,,,"  3,049 ","  7,366 ",  214 ,  616 ,  349 ,  158 ,  37 ,  16 ,,  72 ,  77 ,,  842 ,,,,  20 ,,,,,,,,,,  120 ,  98 ,,
